Name;Group;Indication
cholera vaccine, oral, live;Vaccines;Vaxchora is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children aged 2 years and older. This vaccine should be used in accordance with official recommendations.
deutivacaftor / tezacaftor / vanzacaftor;Other respiratory system products;Alyftrek tablets are indicated for the treatment of cystic fibrosis (CF) in people aged 6 years and older who have at least one non-Class I mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene (see sections 4.2 and 5.1).
flutemetamol (18F);Diagnostic radiopharmaceuticals;This medicinal product is for diagnostic use only. Vizamyl is a radiopharmaceutical medicinal product indicated for Positron Emission Tomography (PET) imaging of ? amyloid neuritic plaque density in the brains of adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD) and other causes of cognitive impairment. Vizamyl should be used in conjunction with a clinical evaluation. A negative scan indicates sparse or no plaques, which is not consistent with a diagnosis of AD.
fingolimod;Immunosuppressants;Gilenya is indicated as single disease modifying therapy in highly active relapsing remitting multiple sclerosis for the following groups of adult patients and paediatric patients aged 10 years and older:  Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy (for exceptions and information about washout periods see sections 4.4 and 5.1).  or  Patients with rapidly evolving severe relapsing remitting multiple sclerosis defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain MRI or a significant increase in T2 lesion load as compared to a previous recent MRI.
azathioprine;Immunosuppressants;"Jayempi is indicated in combination with other immunosuppressive agents for the prophylaxis of transplant rejection in patients receiving allogenic kidney, liver, heart, lung or pancreas transplants. Azathioprine is indicated in immunosuppressive regimens as an adjunct to immunosuppressive agents that form the mainstay of treatment (basis immunosuppression). Jayempi is used as an immunosuppressant antimetabolite either alone or, more commonly, in combination with other agents (usually corticosteroids) and/ or procedures which influence the immune response. Jayempi is indicated in patients who are intolerant to glucocorticosteroids or if the therapeutic response is inadequate despite treatment with high doses of glucocorticosteroids, in the following diseases:  severe active rheumatoid arthritis (chronic polyarthritis) that cannot be kept under control by less toxic agents (disease-modifying anti-rheumatic -medicinal products – DMARDs) auto-immune hepatitis &nbsp;systemic lupus erythematosus dermatomyositis polyarteritis nodosa pemphigus vulgaris and bullous pemphigoid Behçet’s disease refractory auto-immune haemolytic anaemia, caused by warm IgG antibodies chronic refractory idiopathic thrombocytopenic purpura  Jayempi is used for the treatment of moderately severe to severe forms of chronic inflammatory bowel disease (IBD) (Crohn’s disease or ulcerative colitis) in patients in whom glucocorticosteroid therapy is necessary, but where glucocorticosteroids are not tolerated, or in whom the disease is untreatable with other common means of first choice. It is also indicated in adult patients in relapsing multiple sclerosis, if an immunomodulatory therapy is indicated but beta interferon therapy is not possible, or a stable course has been achieved with previous treatment with azathioprine. 3 Jayempi is indicated for the treatment of generalised myasthenia gravis. Depending on the severity of the disease, Jayempi should be given in combination with glucocorticosteroids because of slow onset of action at the beginning of treatment and the glucocorticosteroid dose should be gradually reduced after several months of treatment."
belzutifan;Antineoplastic agents;Renal cell carcinoma (RCC)  Welireg is indicated as monotherapy for the treatment of adult patients with advanced clear cell renal cell carcinoma that progressed following two or more lines of therapy that included a PD-(L)1 inhibitor and at least two VEGF-targeted therapies.  von Hippel-Lindau (VHL) disease-associated tumours  Welireg is indicated as monotherapy for the treatment of adult patients with von Hippel-Lindau disease who require therapy for associated, localised renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), and for whom localised procedures are unsuitable.
"formoterol;glycopyrronium bromide;budesonide";Drugs for obstructive airway diseases;Trixeo Aerosphere is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long acting beta2 agonist or combination of a long-acting beta2 agonist and a long acting muscarinic antagonist.
Ebola Zaire vaccine (rVSV∆G-ZEBOV-GP, live);Vaccines;"Ervebo is indicated for active immunization of individuals 1&nbsp;year&nbsp;of age or older to protect against Ebola Virus Disease (EVD) caused by Zaire Ebola virus. The use of Ervebo should be in accordance with official recommendations."
lutetium (177Lu) oxodotreotide;Other therapeutic radiopharmaceuticals;Lutathera is indicated for the treatment of unresectable or metastatic, progressive, well differentiated (G1 and G2), somatostatin receptor positive gastroenteropancreatic neuroendocrine tumours (GEP?NETs) in adults.
Respiratory syncytial virus mRNA vaccine (nucleoside modified);Vaccines;"Prevention of lower respiratory tract disease (LRTD) and acute respiratory disease (ARD) caused by respiratory syncytial virus (RSV). mRESVIA is indicated for active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by Respiratory Syncytial Virus (RSV) in: - adults 60 years of age and older - adults 18 through 59 years of age who are at increased risk for LRTD caused by RSV. &nbsp; The use of this vaccine should be in accordance with official recommendations."
zonisamide;Antiepileptics;"Zonegran is indicated as:  monotherapy in the treatment of partial seizures, with or without secondary generalisation, in adults with newly diagnosed epilepsy; adjunctive therapy in the treatment of partial seizures, with or without secondary generalisation, in adults, adolescents, and children aged six years and above."
voriconazole;Antimycotics for systemic use;"Voriconazole, is a broad spectrum, triazole antifungal agent and is indicated in adults and children aged 2 years and above as follows:  treatment of invasive aspergillosis; treatment of in candidaemianon-neutropenic patients; treatment of fluconazole-resistant serious invasive Candida infections (including C. krusei); Treatment of serious fungal infections caused by Scedosporium spp. and Fusarium spp.  Vfend should be administered primarily to patients with progressive, possibly life-threatening infections. Prophylaxis of invasive fungal infections in high risk allogeneic hematopoietic stem cell transplant (HSCT) recipients."
mecasermin;Pituitary and hypothalamic hormones and analogues;"For the long-term treatment of growth failure in children and adolescents with severe primary insulin-like-growth-factor-1 deficiency (primary IGFD). Severe primary IGFD is defined by:  height standard deviation score ? -3.0 and; basal insulin-like growth factor-1 (IGF-1) levels below the 2.5th percentile for age and gender and; growth hormone (GH) sufficiency; exclusion of secondary forms of IGF-1 deficiency, such as malnutrition, hypothyroidism, or chronic treatment with pharmacologic doses of anti-inflammatory steroids.  Severe primary IGFD includes patients with mutations in the GH receptor (GHR), post-GHR signalling pathway, and IGF-1 gene defects; they are not GH deficient, and therefore, they cannot be expected to respond adequately to exogenous GH treatment. It is recommended to confirm the diagnosis by conducting an IGF-1 generation test."
pregabalin;"Analgesics;Other analgesics and antipyretics";Neuropathic pain  Lyrica is indicated for the treatment of peripheral and central neuropathic pain in adults.  Epilepsy  Lyrica is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.  Generalised anxiety disorder  Lyrica is indicated for the treatment of generalised anxiety disorder (GAD) in adults.
inclisiran;Lipid modifying agents;Leqvio is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet:  in combination with a statin or statin with other lipid-lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin, or alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.
agalsidase alfa;Other alimentary tract and metabolism products;Replagal is indicated for long-term enzyme-replacement therapy in patients with a confirmed diagnosis of Fabry disease (?-galactosidase-A deficiency).
glucagon;"Pancreatic hormones;Glycogenolytic hormones";Ogluo is indicated for the treatment of severe hypoglycaemia in adults, adolescents, and children aged 2 years and over with diabetes mellitus.
latanoprost / netarsudil;Ophthalmologicals;Roclanda is indicated for the reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin or netarsudil provides insufficient IOP reduction.
bevacizumab;Antineoplastic agents;Bevacizumab in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Bevacizumab in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status. Bevacizumab in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline-containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Avastin in combination with capecitabine. For further information as to HER2 status. Bevacizumab, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Bevacizumab, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Bevacizumab in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Bevacizumab, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer.Bevacizumab, in combination with carboplatin and gemcitabine, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Bevacizumab in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Bevacizumab, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix.
sildenafil;Urologicals;Treatment of men with erectile dysfunction, which is the inability to achieve or maintain a penile erection sufficient for satisfactory sexual performance. In order for Viagra to be effective, sexual stimulation is required.
sildenafil;Urologicals;Treatment of adult patients with pulmonary arterial hypertension classified as World Health Organization (WHO) functional class II and III, to improve exercise capacity. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease. Paediatric population Treatment of paediatric patients aged one year to 17 years old with pulmonary arterial hypertension. Efficacy in terms of improvement of exercise capacity or pulmonary haemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease. Revatio solution for injection is for the treatment of adult patients with pulmonary arterial hypertension who are currently prescribed oral Revatio and who are temporarily unable to take oral therapy, but are otherwise clinically and haemodynamically stable. Revatio (oral) is indicated for treatment of adult patients with pulmonary arterial hypertension classified as WHO functional class II and III, to improve exercise capacity. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease.
pregabalin;"Other analgesics and antipyretics;Antiepileptics";"Neuropathic painPregabalin Viatris Pharma is indicated for the treatment of peripheral and central neuropathic pain in adults. Epilepsy&nbsp;Pregabalin Viatris Pharma is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation. Generalised Anxiety Disorder&nbsp;Pregabalin Viatris Pharma is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults."
tafamidis;Other nervous system drugs;Vyndaqel is indicated for the treatment of transthyretin amyloidosis in adult patients with stage-1 symptomatic polyneuropathy to delay peripheral neurologic impairment.
sirolimus;Immunosuppressants;Rapamune is indicated for the prophylaxis of organ rejection in adult patients at low to moderate immunological risk receiving a renal transplant. It is recommended that Rapamune be used initially in combination with ciclosporin microemulsion and corticosteroids for 2 to 3 months. Rapamune may be continued as maintenance therapy with corticosteroids only if ciclosporin microemulsion can be progressively discontinued. Rapamune is indicated for the treatment of patients with sporadic lymphangioleiomyomatosis with moderate lung disease or declining lung function.
levetiracetam;Antiepileptics;Levetiracetam Hospira is indicated as monotherapy in the treatment of partial onset seizures with or without secondary generalisation in adults and adolescents from 16 years of age with newly diagnosed epilepsy. Levetiracetam Hospira is indicated as adjunctive therapy  in the treatment of partial onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy. in the treatment of myoclonic seizures in adults and adolescents from 12 years of age with Juvenile Myoclonic Epilepsy. in the treatment of primary generalised tonic-clonic seizures in adults and adolescents from 12 years of age with Idiopathic Generalised Epilepsy.  Levetiracetam Hospira concentrate is an alternative for patients when oral administration is temporarily not feasible.
daptomycin;Antibacterials for systemic use;Daptomycin is indicated for the treatment of the following infections.  Adult and paediatric (1 to 17 years of age) patients with complicated skin and soft-tissue infections (cSSTI). Adult patients with right-sided infective endocarditis (RIE) due to Staphylococcus aureus. It isrecommended that the decision to use daptomycin should take into account the antibacterial susceptibility of the organism and should be based on expert advice. Adult and paediatric (1 to 17 years of age) patients with Staphylococcus aureus bacteraemia (SAB).  In adults, use in bacteraemia should be associated with RIE or with cSSTI, while in paediatric patients, use in bacteraemia should be associated with cSSTI. Daptomycin is active against Gram positive bacteria only. In mixed infections where Gram negative and/or certain types of anaerobic bacteria are suspected, daptomycin should be co-administered with appropriate antibacterial agent(s). Consideration should be given to official guidance on the appropriate use of antibacterial agents.
"aztreonam;avibactam";Antibacterials for systemic use;"Emblaveo is indicated for the treatment of the following infections in adult patients (see sections 4.4 and 5.1):• Complicated intra-abdominal infection (cIAI)• Hospital-acquired pneumonia (HAP), including ventilator-associated pneumonia (VAP)&nbsp;• Complicated urinary tract infection (cUTI), including pyelonephritisEmblaveo is also indicated for the treatment of infections due to aerobic Gram-negative organisms in adult patients with limited treatment options (see sections 4.2, 4.4, and 5.1).Consideration should be given to official guidance on the appropriate use of antibacterial agents."
diflunisal;"Other analgesics and antipyretics;Salicylic acid and derivatives";Attrogy is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (ATTRv) in adult patients with stage 1 or stage 2 polyneuropathy.
glucagon;"Pancreatic hormones;Glycogenolytic hormones";Baqsimi is indicated for the treatment of severe hypoglycaemia in adults, adolescents, and children aged 4 years and over with diabetes mellitus.
darifenacin hydrobromide;"Urologicals;Drugs for urinary frequency and incontinence";Symptomatic treatment of urge incontinence and/or increased urinary frequency and urgency as may occur in adult patients with overactive bladder syndrome.
thalidomide;Immunosuppressants;Thalidomide Lipomed in combination with melphalan and prednisone is indicated as first line treatment of patients with untreated multiple myeloma, aged ? 65 years or ineligible for high dose chemotherapy. Thalidomide Lipomed is prescribed and dispensed in accordance with the Thalidomide Lipomed Pregnancy Prevention Programme (see section 4.4).
gozetotide;Diagnostic radiopharmaceuticals;This medicinal product is for diagnostic use only. Locametz, after radiolabelling with gallium 68, is indicated for the detection of prostate specific membrane antigen (PSMA) positive lesions with positron emission tomography (PET) in adults with prostate cancer (PCa) in the following clinical settings:  Primary staging of patients with high risk PCa prior to primary curative therapy, Suspected PCa recurrence in patients with increasing levels of serum prostate specific antigen (PSA) after primary curative therapy, Identification of patients with PSMA positive progressive metastatic castration resistant prostate cancer (mCRPC) for whom PSMA targeted therapy is indicated (see section 4.4).
maralixibat chloride;Other drugs for bile therapy;"Livmarli is indicated for the treatment of:•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cholestatic pruritus in patients with Alagille syndrome (ALGS) 2 months of age and older,•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Progressive familial intrahepatic cholestasis (PFIC) in patients 3 months of age and older."
etrasimod;Immunosuppressants;Velsipity is indicated for the treatment of patients 16 years of age and older with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, lost response, or were intolerant to either conventional therapy, or a biological agent.
ixekizumab;Immunosuppressants;"Plaque psoriasisTaltz is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy.Paediatric plaque psoriasisTaltz is indicated for the treatment of moderate to severe plaque psoriasis in children from the age of 6 years and with a body weight of at least 25 kg and adolescents who are candidates for systemic therapy.Psoriatic arthritisTaltz, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drug (DMARD) therapies.&nbsp;Axial spondyloarthritis Ankylosing spondylitis (radiographic axial spondyloarthritis)Taltz is indicated for the treatment of adult patients with active ankylosing spondylitis who have responded inadequately to conventional therapy. Non-radiographic axial spondyloarthritis Taltz is indicated for the treatment of adult patients with active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) who have responded inadequately to nonsteroidal anti-inflammatory drugs (NSAIDs).Juvenile idiopathic arthritis (JIA)Juvenile psoriatic arthritis (JPsA)Taltz, alone or in combination with methotrexate, is indicated for the treatment of active JPsA in patients 6 years of age and older and with a body weight of at least 25 kg, who have had an inadequate response to, or who are intolerant of, conventional therapy.Enthesitis-related arthritis (ERA)Taltz, alone or in combination with methotrexate, is indicated for the treatment of active ERA in patients 6 years of age and older and with a body weight of at least 25 kg, who have had an inadequate response to, or who are intolerant of, conventional therapy."
varenicline;Other nervous system drugs;Champix is indicated for smoking cessation in adults.
bexarotene;Antineoplastic agents;Targretin capsules are indicated for the treatment of skin manifestations of advanced stage cutaneous T-cell lymphoma (CTCL) patients refractory to at least one systemic treatment.
fostemsavir;Antivirals for systemic use;Rukobia, in combination with other antiretrovirals, is indicated for the treatment of adults with multidrug resistant HIV-1 infection for whom it is otherwise not possible to construct a suppressive anti-viral regimen.
rezafungin;Antimycotics for systemic use;"Rezzayo is indicated for the treatment of invasive candidiasis in adults. Consideration should be given to official guidance on the appropriate use of antifungal agents. &nbsp;"
zanamivir;Antivirals for systemic use;Dectova is indicated for the treatment of complicated and potentially life-threatening influenza A or B virus infection in adult and paediatric patients (aged ?6 months) when:  The patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or Other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient.  Dectova should be used in accordance with official guidance.
atropine sulfate;Ophthalmologicals;Ryjunea is indicated for slowing the progression of myopia in paediatric patients. Treatment may be initiated in children aged 3-14 years with a progression rate of 0.5 D or more per year and a severity of -0.5 D to -6.0 D.
dolutegravir;Antivirals for systemic use;Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults, adolescents and children of at least 6 years of age or older and weighing at least 14 kg. Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults, adolescents and children of at least 4 weeks of age or older and weighing at least 3 kg.
binimetinib;Antineoplastic agents;MelanomaBinimetinib in combination with encorafenib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.Non-small cell lung cancer (NSCLC)Binimetinib in combination with encorafenib is indicated for the treatment of adult patients with advanced non-small cell lung cancer with a BRAF V600E mutation.
esketamine;Other antidepressants;Spravato, in combination with a SSRI or SNRI, is indicated for adults with treatment-resistant Major Depressive Disorder, who have not responded to at least two different treatments with antidepressants in the current moderate to severe depressive episode.
recombinant respiratory syncytial virus pre-fusion F protein, adjuvanted with AS01E;Vaccines;"Arexvy is indicated for active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus in:  adults 60 years of age and older; adults 50 through 59 years of age who are at increased risk for RSV disease.  The use of this vaccine should be in accordance with official recommendations.&nbsp;"
zonisamide;Antiepileptics;"Monotherapy in the treatment of partial seizures, with or without secondary generalisation, in adults with newly diagnosed epilepsy; adjunctive therapy in the treatment of partial seizures, with or without secondary generalisation, in adults, adolescents, and children aged 6 years and above."
emicizumab;Antihemorrhagics;"Hemlibra is indicated for routine prophylaxis of bleeding episodes in patients with haemophilia A (congenital factor VIII deficiency):  with factor VIII inhibitors without factor VIII inhibitors who have:  severe disease (FVIII &lt; 1%) moderate disease (FVIII ? 1% and ? 5%) with severe bleeding phenotype.    Hemlibra can be used in all age groups."
tolcapone;"Anti-Parkinson drugs;Other dopaminergic agents";Tasmar is indicated in combination with levodopa / benserazide or levodopa / carbidopa for use in patients with levodopa-responsive idiopathic Parkinson’s disease and motor fluctuations, who failed to respond to or are intolerant of other catechol-O-methyltransferase (COMT) inhibitors. Because of the risk of potentially fatal, acute liver injury, Tasmar should not be considered as a first-line adjunct therapy to levodopa / benserazide or levodopa / carbidopa. Since Tasmar should be used only in combination with levodopa / benserazide and levodopa / carbidopa, the prescribing information for these levodopa preparations is also applicable to their concomitant use with Tasmar.
rilpivirine;Antivirals for systemic use;"REKAMBYS is indicated, in combination with cabotegravir injection, for the treatment of human immunodeficiency virus type 1 (HIV 1) infection in adults and adolescents (at least 12 years of age and weighing at least 35 kg) who are virologically suppressed (HIV-1 RNA &lt; 50 copies/mL) on a stable antiretroviral regimen without present or past evidence of viral resistance to, and no prior virological failure with, agents of the non-nucleoside reverse transcriptase inhibitor (NNRTI) and integrase inhibitor (INI) class."
cabotegravir;Antivirals for systemic use;"Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults and adolescents (at least 12 years of age and weighing at least 35 kg) who are virologically suppressed (HIV-1 RNA &lt;50 copies/mL) on a stable antiretroviral regimen without present or past evidence of viral resistance to, and no prior virological failure with agents of the non-nucleoside reverse transcriptase inhibitor (NNRTI) and integrase inhibitor (INI) class for:  Oral lead in to assess tolerability of Vocabria and rilpivirine prior to administration of long acting cabotegravir injection plus long acting rilpivirine injection. Oral therapy for adults and adolescents who will miss planned dosing with cabotegravir injection plus rilpivirine injection.  Vocabria injection is indicated, in combination with rilpivirine injection, for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults and adoloscents (at least 12 years of age and weighing at least 35 kg) who are virologically suppressed (HIV-1 RNA &lt;50 copies/mL) on a stable antiretroviral regimen without present or past evidence of viral resistance to, and no prior virological failure with agents of the non-nucleoside reverse trascriptase."
ceftaroline fosamil;Antibacterials for systemic use;Zinforo is indicated for the treatment of the following infections in neonates, infants, children, adolescents and adults:  Complicated skin and soft tissue infections (cSSTI) Community-acquired pneumonia (CAP)  Consideration should be given to official guidance on the appropriate use of antibacterial agents.
lenalidomide;Immunosuppressants;Multiple myeloma Revlimid as monotherapy is indicated for the maintenance treatment of adult patients with newly diagnosed multiple myeloma who have undergone autologous stem cell transplantation. Revlimid as combination therapy with dexamethasone, or bortezomib and dexamethasone, or melphalan and prednisone (see section 4.2) is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for transplant. Revlimid in combination with dexamethasone is indicated for the treatment of multiple myeloma in adult patients who have received at least one prior therapy. Myelodysplastic syndromes Revlimid as monotherapy is indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate. Mantle cell lymphoma Revlimid as monotherapy is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma. Follicular lymphoma Revlimid in combination with rituximab (anti-CD20 antibody) is indicated for the treatment of adult patients with previously treated follicular lymphoma (Grade 1 – 3a).
tenofovir disoproxil;Antivirals for systemic use;"HIV-1 infection Tenofovir disoproxil 245 mg film-coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected adults. In adults, the demonstration of the benefit of tenofovir disoproxil in HIV-1 infection is based on results of one study in treatment-naïve patients, including patients with a high viral load (&gt; 100,000 copies/ml) and studies in which tenofovir disoproxil was added to stable background therapy (mainly tritherapy) in antiretroviral pre-treated patients experiencing early virological failure (&lt; 10,000 copies/ml, with the majority of patients having &lt; 5,000 copies/ml). Tenofovir disoproxil 245 mg film-coated tablets are also indicated for the treatment of HIV-1 infected adolescents, with NRTI resistance or toxicities precluding the use of first line agents, aged 12 to &lt; 18 years. The choice of tenofovir disoproxil to treat antiretroviral-experienced patients with HIV-1 infection should be based on individual viral resistance testing and/or treatment history of patients. Hepatitis B infection Tenofovir disoproxil 245 mg film-coated tablets are indicated for the treatment of chronic hepatitis B in adults with:  compensated liver disease, with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis. evidence of lamivudine-resistant hepatitis B virus. decompensated liver disease.  Tenofovir disoproxil 245 mg film-coated tablets are indicated for the treatment of chronic hepatitis B in adolescents 12 to &lt; 18 years of age with:  compensated liver disease and evidence of immune active disease, i.e. active viral replication, persistently elevated serum ALT levels and histological evidence of active inflammation and/or fibrosis."
anidulafungin;Antimycotics for systemic use;"Treatment of invasive candidiasis in adults and paediatric patients aged 1 month to &lt; 18 years."
mercaptamine;Other alimentary tract and metabolism products;Procysbi is indicated for the treatment of proven nephropathic cystinosis. Cysteamine reduces cystine accumulation in some cells (e.g. leukocytes, muscle and liver cells) of nephropathic cystinosis patients and, when treatment is started early, it delays the development of renal failure.
"lopinavir;ritonavir";Antivirals for systemic use;Lopinavir/ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infected adults, adolescents and children above the age of 2 years. The choice of lopinavir/ritonavir to treat protease inhibitor experienced HIV-1 infected patients should be based on individual viral resistance testing and treatment history of patients.
nepafenac;Ophthalmologicals;"Nevanac is indicated for:  prevention and treatment of postoperative pain and inflammation associated with cataract surgery; reduction in the risk of postoperative macular oedema associated with cataract surgery in diabetic patients."
sepiapterin;Other alimentary tract and metabolism products;Treatment of hyperphenylalaninaemia (HPA) in adult and paediatric patients with phenylketonuria (PKU)
solriamfetol;Psychoanaleptics;Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness in adult patients with narcolepsy (with or without cataplexy). Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness (EDS) in adult patients with obstructive sleep apnoea (OSA) whose EDS has not been satisfactorily treated by primary OSA therapy, such as continuous positive airway pressure (CPAP). 
pitolisant;Other nervous system drugs;Wakix is indicated in adults, adolescents and children from the age of 6 years for the treatment of narcolepsy with or without cataplexy (see also section 5.1).
"allogeneic umbilical cord-derived CD34- cells, non-expanded;dorocubicel";Other blood products;Treatment of adult patients with haematological malignancies requiring an allogeneic haematopoietic stem cell transplantation following myeloablative conditioning for whom no other type of suitable donor cells is available
pitolisant;Other nervous system drugs;Ozawade is indicated to improve wakefulness and reduce excessive daytime sleepiness (EDS) in adult patients with obstructive sleep apnoea (OSA)
blinatumomab;Antineoplastic agents;"Blincyto is indicated as monotherapy for the treatment of adults with CD19 positive relapsed or refractory B‑cell precursor acute lymphoblastic leukaemia (ALL). Patients with Philadelphia chromosome-positive B-cell precursor ALL should have failed treatment with at least 2 tyrosine kinase inhibitors (TKIs) and have no alternative treatment options. Blincyto is indicated as monotherapy for the treatment of adults with Philadelphia chromosome-negative CD19 positive B-cell precursor ALL in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1%. Blincyto is indicated as monotherapy for the treatment of paediatric patients aged&nbsp;1&nbsp;month or older with Philadelphia chromosome-negative CD19 positive B‑cell precursor ALL which is refractory or in relapse after receiving at least two prior therapies or in relapse after receiving prior allogeneic haematopoietic stem cell transplantation. Blincyto is indicated as monotherapy for the treatment of paediatric patients aged&nbsp;1&nbsp;month or older with high-risk first relapsed Philadelphia chromosome-negative CD19 positive B-cell precursor ALL as part of the consolidation therapy (see section&nbsp;4.2). Blincyto is indicated as monotherapy as part of consolidation therapy for the treatment of adult patients with newly diagnosed Philadelphia chromosome negative CD19 positive B-cell precursor ALL."
acoramidis;Cardiac therapy;For the treatment of wild-type or variant transthyretin amyloidosis in adult patients with cardiomyopathy (ATTR-CM).
"piperaquine tetraphosphate;artenimol";Antiprotozoals;Eurartesim is indicated for the treatment of uncomplicated Plasmodium falciparum malaria in adults, children and infants 6 months and over and weighing 5 kg or more. Consideration should be given to official guidance on the appropriate use of antimalarial agents.
