Name;Tradename;Disease;Indication;Status;URL;Category
herpes zoster vaccine (recombinant, adjuvanted);Shingrix;Herpes Zoster;"Shingrix is indicated for prevention of herpes zoster (HZ) and post-herpetic neuralgia (PHN), in:  adults 50 years of age or older; adults 18 years of age or older at increased risk of HZ.  The use of Shingrix should be in accordance with official recommendations.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/shingrix;Human
agalsidase alfa;Replagal;Fabry Disease;Replagal is indicated for long-term enzyme-replacement therapy in patients with a confirmed diagnosis of Fabry disease (?-galactosidase-A deficiency).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/replagal;Human
pregabalin;Pregabalin Viatris (previously Pregabalin Mylan);"Anxiety Disorders;Epilepsy";Neuropathic pain Pregabalin Viatris is indicated for the treatment of peripheral and central neuropathic pain in adults. EpilepsyPregabalin Viatris is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation. Generalised Anxiety DisorderPregabalin Viatris is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-viatris;Human
methylphenidate hydrochloride;Tuzulby;Attention Deficit Disorder with Hyperactivity;Tuzulby is indicated as part of a comprehensive treatment programme for attention-deficit / hyperactivity disorder (ADHD) in children and adolescents 6-17 years old when remedial measures alone prove insufficient. Treatment must be under the supervision of a specialist in childhood behavioural disorders. Diagnosis should be made according to Diagnostic and Statistical Manual of Mental Disorders Fourth Edition (DSM-IV) criteria or the guidelines in International Classification of Diseases, Tenth Revision (ICD-10) and should be based on a complete history and evaluation of the patient. Diagnosis cannot be made solely on the presence of one or more symptoms.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/tuzulby;Human
leflunomide;Leflunomide medac;Arthritis, Rheumatoid;Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD).  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions, therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-medac;Human
miglustat;Yargesa;Gaucher Disease;Yargesa is indicated for the oral treatment of adult patients with mild to moderate type 1 Gaucher disease. Yargesa may be used only in the treatment of patients for whom enzyme replacement therapy is unsuitable. Yargesa is indicated for the treatment of progressive neurological manifestations in adult patients and paediatric patients with Niemann-Pick type C disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/yargesa;Human
basiliximab;Simulect;"Graft Rejection;Kidney Transplantation";Simulect is indicated for the prophylaxis of acute organ rejection in de-novo allogeneic renal transplantation in adult and paediatric patients (1-17 years). It is to be used concomitantly with ciclosporin for microemulsion- and corticosteroid-based immunosuppression, in patients with panel reactive antibodies less than 80%, or in a triple maintenance immunosuppressive regimen containing ciclosporin for microemulsion, corticosteroids and either azathioprine or mycophenolate mofetil.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/simulect;Human
macitentan;Macitentan AccordPharma;Hypertension, Pulmonary;AdultsMacitentan AccordPharma, as monotherapy or in combination, is indicated for the long-term treatmentof pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III (seesection 5.1)Paediatric populationMacitentan AccordPharma, as monotherapy or in combination, is indicated for the long-term treatmentof pulmonary arterial hypertension (PAH) in paediatric patients aged less than 18 years andbodyweight ≥ 40 kg with WHO Functional Class (FC) II to III (see section 5.1);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/macitentan-accordpharma;Human
methylthioninium chloride;Methylthioninium chloride Proveblue;Methemoglobinemia;Acute symptomatic treatment of medicinal and chemical products- induced methaemoglobinaemia. Methylthioninium chloride Proveblue is indicated in adults, children and adolescents (aged 0 to 17 years old).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/methylthioninium-chloride-proveblue;Human
conestat alfa;Ruconest;Angioedemas, Hereditary;Ruconest is indicated for treatment of acute angioedema attacks in adults with hereditary angioedema (HAE) due to C1-esterase-inhibitor deficiency.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ruconest;Human
efanesoctocog alfa;Altuvoct;Hemophilia A;Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency). Altuvoct can be used for all age groups.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/altuvoct;Human
pirfenidone;Pirfenidone Viatris;"Idiopathic Pulmonary Fibrosis;Lung Diseases;Respiratory Tract Diseases";Pirfenidone Viatris is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis (IPF).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pirfenidone-viatris;Human
macitentan;Macitentan Accord;Hypertension, Pulmonary;AdultsMacitentan Accord as monotherapy is indicated for the long-term treatment of pulmonary arterialhypertension (PAH) in adult patients of WHO Functional Class (FC) II to III (see section 5.1). Paediatric populationMacitentan Accord as monotherapy is indicated for the long-term treatment of pulmonary arterialhypertension (PAH) in paediatric patients aged less than 18 years and bodyweight ≥ 40 kg with WHOFunctional Class (FC) II to III (see section 5.1).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/macitentan-accord;Human
COVID-19 mRNA vaccine;Comirnaty;COVID-19 virus infection;Comirnaty JN.1 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty JN.1 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 11 years. The use of this vaccine should be in accordance with official recommendations. Comirnaty KP.2 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty KP.2 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 4 years. The use of this vaccine should be in accordance with official recommendations. Comirnaty LP.8.1 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty LP.8.1 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 4 years. The use of this vaccine should be in accordance with official recommendations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/comirnaty;Human
aflibercept;Afqlir;"Wet Macular Degeneration;Macular Edema;Diabetes Complications;Retinal Vein Occlusion";Afqlir is indicated for adults for the treatment of • neovascular (wet) age-related macular degeneration (AMD) • visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO) • visual impairment due to diabetic macular oedema (DME) • visual impairment due to myopic choroidal neovascularisation (myopic CNV);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/afqlir;Human
follitropin beta;Puregon;"Infertility;Hypogonadism";"In the female: Puregon is indicated for the treatment of female infertility in the following clinical situations:  anovulation (including polycystic ovarian syndrome, PCOS) in women who have been unresponsive to treatment with clomifene citrate; controlled ovarian hyperstimulation to induce the development of multiple follicles in medically assisted reproduction programs (e.g. in-vitro fertilisation / embryo transfer (IVF/ET), gamete intrafallopian transfer (GIFT) and intracytoplasmic sperm injection (ICSI)).  In the male:  Deficient spermatogenesis due to hypogonadotrophic hypogonadism.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/puregon;Human
cefiderocol;Fetcroja;Gram-Negative Bacterial Infections;Fetcroja is indicated for the treatment of infections   due to aerobic Gram-negative organisms in adults with limited treatment options (see sections 4.2, 4.4 and 5.1). Consideration should be given to official guidance on the appropriate use of antibacterial agents.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/fetcroja;Human
rotavirus vaccine, live;RotaTeq;"Immunization;Rotavirus Infections";RotaTeq is indicated for the active immunisation of infants from the age of six weeks to 32 weeks for prevention of gastroenteritis due to rotavirus infection. RotaTeq is to be used on the basis of official recommendations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/rotateq;Human
ganirelix;Orgalutran;"Reproductive Techniques, Assisted;Ovulation Induction;Infertility, Female";The prevention of premature luteinising-hormone surges in women undergoing controlled ovarian hyperstimulation for assisted reproduction techniques. In clinical studies, Orgalutran was used with recombinant human follicle-stimulating hormone or corifollitropin alfa, the sustained follicle stimulant.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/orgalutran;Human
"linagliptin;metformin hydrochloride";Jentadueto;Diabetes Mellitus, Type 2;Treatment of adult patients with type-2 diabetes mellitus:  Jentadueto is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients inadequately controlled on their maximal tolerated dose of metformin alone, or those already being treated with the combination of linagliptin and metformin. Jentadueto is indicated in combination with a sulphonylurea (i.e. triple combination therapy) as an adjunct to diet and exercise in adult patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/jentadueto;Human
ustekinumab;Absimky;"Crohn Disease;Colitis, Ulcerative";Plaque psoriasis ABSIMKY is indicated for the treatment of moderate to severe plaque psoriasis in adults who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapies including ciclosporin, methotrexate (MTX) or PUVA (psoralen and ultraviolet A). Paediatric plaque psoriasis ABSIMKY is indicated for the treatment of moderate to severe plaque psoriasis in children and adolescent patients from the age of 6 years and older, who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies. Psoriatic arthritis (PsA) ABSIMKY, alone or in combination with MTX, is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous non-biological disease-modifying antirheumatic drug (DMARD) therapy has been inadequate. Crohn’s Disease Absimky is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a TNFα antagonist or have medical contraindications to such therapies. Ulcerative colitis Absimky is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic or have medical contraindications to such therapies.;Withdrawn;https://www.ema.europa.eu/en/medicines/human/EPAR/absimky;Human
blarcamesine;Blarcamesine Anavex;;Treatment of Alzheimer’s disease and dementia.;Opinion under re-examination;https://www.ema.europa.eu/en/medicines/human/EPAR/blarcamesine-anavex;Human
autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence;Strimvelis;Severe Combined Immunodeficiency;Strimvelis is indicated for the treatment of patients with severe combined immunodeficiency due to adenosine deaminase deficiency (ADA-SCID), for whom no suitable human leukocyte antigen (HLA)-matched related stem cell donor is available (see section 4.2 and section 4.4).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis;Human
"saxagliptin;dapagliflozin";Qtern;"Diabetes Mellitus, Type 2;Diabetes Mellitus;Nutritional and Metabolic Diseases;Metabolic Diseases;Glucose Metabolism Disorders";Qtern, fixed dose combination of saxagliptin and dapagliflozin, is indicated in adults aged 18 years and older with type 2 diabetes mellitus:  to improve glycaemic control when metformin and/or sulphonylurea (SU) and one of the monocomponents of Qtern do not provide adequate glycaemic control, when already being treated with the free combination of dapagliflozin and saxagliptin.  (See sections 4.2, 4.4, 4.5 and 5.1 for available data on combinations studied.);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/qtern;Human
"dapagliflozin;metformin";Xigduo;Diabetes Mellitus, Type 2;Xigduo is indicated in adults for the treatment of type 2 diabetes mellitus as an adjunct to diet and exercise: •    in patients insufficiently controlled on their maximally tolerated dose of metformin alone  •    in combination with other medicinal products for the treatment of diabetes in patients insufficiently controlled with metformin and these medicinal products •    in patients already being treated with the combination of dapagliflozin and metformin as separate tablets. For study results with respect to combination of therapies, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/xigduo;Human
"dapagliflozin;metformin";Ebymect;Diabetes Mellitus, Type 2;Type 2 diabetes mellitus For the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise.  as monotherapy when metformin is considered inappropriate due to intolerance. in addition to other medicinal products for the treatment of type 2 diabetes.  For study results with respect to combination of therapies, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1. Type 1 diabetes mellitus Edistride is indicated in adults for the treatment of insufficiently controlled type 1 diabetes mellitus as an adjunct to insulin in patients with BMI ? 27 kg/m2, when insulin alone does not provide adequate glycaemic control despite optimal insulin therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ebymect;Human
secukinumab;Cosentyx;"Arthritis, Psoriatic;Psoriasis;Spondylitis, Ankylosing";Plaque psoriasis Cosentyx is indicated for the treatment of moderate to severe plaque psoriasis in adults and children from the age of 6 years old who are candidates for systemic therapy. Hidradenitis suppurativa (HS) Cosentyx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy. Psoriatic arthritis Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease modifying anti rheumatic drug (DMARD) therapy has been inadequate. Axial spondyloarthritis (axSpA) Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Cosentyx is indicated for the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non-radiographic axial spondyloarthritis (nr-axSpA) Cosentyx is indicated for the treatment of active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non steroidal anti inflammatory drugs (NSAIDs). Juvenile idiopathic arthritis (JIA) Enthesitis-related arthritis (ERA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active enthesitis-related arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy. Juvenile psoriatic arthritis (JPsA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active juvenile psoriatic arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/cosentyx;Human
leflunomide;Leflunomide ratiopharm;Arthritis, Rheumatoid;"Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD); active psoriatic arthritis.  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-ratiopharm;Human
mifamurtide;Mepact;Osteosarcoma;Mepact is indicated in children, adolescents and young adults for the treatment of high-grade resectable non-metastatic osteosarcoma after macroscopically complete surgical resection. It is used in combination with postoperative multi-agent chemotherapy. Safety and efficacy have been assessed in studies of patients two to 30 years of age at initial diagnosis.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/mepact;Human
doxorubicin;Caelyx pegylated liposomal;"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms";"Caelyx pegylated liposomal is indicated:  as monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk; for treatment of advanced ovarian cancer in women who have failed a first-line platinum-based chemotherapy regimen; in combination with bortezomib for the treatment of progressive multiple myeloma in patients who have received at least one prior therapy and who have already undergone or are unsuitable for bone marrow transplant; for treatment of AIDS-related Kaposi’s sarcoma (KS) in patients with low CD4 counts (&lt;200 CD4 lymphocytes/mm3) and extensive mucocutaneous or visceral disease.  Caelyx pegylated liposomal may be used as first-line systemic chemotherapy, or as second line chemotherapy in AIDS-KS patients with disease that has progressed with, or in patients intolerant to, prior combination systemic chemotherapy comprising at least two of the following agents: a vinca alkaloid, bleomycin and standarddoxorubicin (or other anthracycline).";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/caelyx-pegylated-liposomal;Human
azacitidine;Azacitidine Kabi;"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute";"Azacitidine Kabi is indicated for the treatment of adult patients who are not eligible for haematopoietic stem cell transplantation(HSCT) with:  Intermediate-2 and high-risk myelodysplastic syndromes (MDS) according to the international prognostic scoring system (IPSS), Chronic myelomonocytic leukaemia (CMML) with 10-29% marrow blasts without myeloproliferative disorder, Acute myeloid leukaemia (AML) with 20-30% blasts and multi-lineage dysplasia, according to World Health Organization (WHO) classification, AML with &gt; 30% marrow blasts according to the WHO classification.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/azacitidine-kabi;Human
lisocabtagene maraleucel;Breyanzi;"Lymphoma, Large B-Cell, Diffuse;Lymphoma, Follicular;Mediastinal Neoplasms";Breyanzi is indicated for the treatment of adult patients with diffuse large B-cell lymphoma (DLBCL), high grade B-cell lymphoma (HGBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B), who relapsed within 12 months from completion of, or are refractory to, first-line chemoimmunotherapy.     Breyanzi is indicated for the treatment of adult patients with relapsed or refractory DLBCL, PMBCL and FL3B, after two or more lines of systemic therapy.  Breyanzi is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.     Breyanzi is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy including a Bruton’s tyrosine kinase (BTK) inhibitor.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi;Human
deutivacaftor / tezacaftor / vanzacaftor;Alyftrek;Cystic Fibrosis;Alyftrek tablets are indicated for the treatment of cystic fibrosis (CF) in people aged 6 years and older who have at least one non-Class I mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene (see sections 4.2 and 5.1).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/alyftrek;Human
canagliflozin;Invokana;Diabetes Mellitus, Type 2;Invokana is indicated for the treatment of adults and children aged 10 years and older with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise:   as monotherapy when metformin is considered inappropriate due to intolerance or contraindications in addition to other medicinal products for the treatment of diabetes.  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/invokana;Human
zanidatamab;Ziihera;Biliary Tract Neoplasms;Ziihera as monotherapy is indicated for the treatment of adults with unresectable locally advanced or metastatic HER2-positive (IHC3+) biliary tract cancer (BTC) previously treated with at least one prior line of systemic therapy (for biomarker-based patient selection, see section 4.2).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ziihera;Human
meningococcal group b vaccine (recombinant, adsorbed);Trumenba;Meningitis, Meningococcal;Trumenba is indicated for active immunisation of individuals 10 years and older to prevent invasive meningococcal disease caused by Neisseria meningitidis serogroup B. The use of this vaccine should be in accordance with official recommendations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/trumenba;Human
ranibizumab;Lucentis;"Wet Macular Degeneration;Macular Edema;Diabetes Complications;Myopia, Degenerative;Choroidal Neovascularization";Lucentis is indicated in adults for:  The treatment of neovascular (wet) age-related macular degeneration (AMD) The treatment of visual impairment due to choroidal neovascularisation (CNV) The treatment of visual impairment due to diabetic macular oedema (DME) The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/lucentis;Human
vedolizumab;Entyvio;"Colitis, Ulcerative;Crohn Disease";Ulcerative colitis Entyvio is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF?) antagonist. Crohn’s disease Entyvio is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF?) antagonist. Pouchitis Entyvio is indicated for the treatment of adult patients with moderately to severely active chronic pouchitis, who have undergone proctocolectomy and ileal pouch anal anastomosis for ulcerative colitis, and have had an inadequate response with or lost response to antibiotic therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/entyvio;Human
ocrelizumab;Ocrevus;Multiple Sclerosis;Treatment of adult patients with relapsing forms of multiple sclerosis (RMS) with active disease defined by clinical or imaging features. Treatment of adult patients with early primary progressive multiple sclerosis (PPMS) in terms of disease duration and level of disability, and with imaging features characteristic of inflammatory activity.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ocrevus;Human
pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted);Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals);"Influenza, Human;Immunization;Disease Outbreaks";Prophylaxis of influenza in an officially declared pandemic situation. Pandemic influenza vaccine should be used in accordance with official guidance.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/adjupanrix;Human
nilotinib;Tasigna;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Tasigna is indicated for the treatment of:  adult and paediatric patients with newly diagnosed Philadelphia chromosome positive chronic myelogenous leukaemia (CML) in the chronic phase, paediatric patients with Philadelphia chromosome positive CML in chronic phase with resistance or intolerance to prior therapy including imatinib.  Tasigna is indicated for the treatment of:  adult and paediatric patients with newly diagnosed Philadelphia chromosome positive chronic myelogenous leukaemia (CML) in the chronic phase, adult patients with chronic phase and accelerated phase Philadelphia chromosome positive CML with resistance or intolerance to prior therapy including imatinib. Efficacy data in patients with CML in blast crisis are not available, paediatric patients with chronic phase Philadelphia chromosome positive CML with resistance or intolerance to prior therapy including imatinib.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/tasigna;Human
regadenoson;Rapiscan;Myocardial Perfusion Imaging;This medicinal product is for diagnostic use only. Rapiscan is a selective coronary vasodilator for use as a pharmacological stress agent for radionuclide myocardial perfusion imaging (MPI) in adult patients unable to undergo adequate exercise stress.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/rapiscan;Human
datopotamab deruxtecan;Datroway;Breast Neoplasms;Breast cancerDatroway as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic hormone receptor (HR)-positive, HER2-negative breast cancer who have received endocrine therapy and at least one line of chemotherapy in the advanced setting.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/datroway;Human
rivaroxaban;Rivaroxaban Koanaa;"Venous Thromboembolism;Pulmonary Embolism;Venous Thrombosis;Stroke;Embolism";Prevention of venous thromboembolism (VTE) in adult patients undergoing elective hip or kneereplacement surgery. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults. (See section 4.4 for haemodynamically unstable PE patients.);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/rivaroxaban-koanaa;Human
dabigatran etexilate;Pradaxa;"Arthroplasty, Replacement;Venous Thromboembolism";"Pradaxa 75 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery.  Pradaxa 110 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery. Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults.  Pradaxa 150 mg  Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pradaxa;Human
somatrogon;Ngenla;Growth and Development;Indicated for the long-term treatment of paediatric patients with growth disturbance due to insufficient secretion of growth hormone;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ngenla;Human
levetiracetam;Matever;Epilepsy;"Matever is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in patients from 16 years of age with newly diagnosed epilepsy. Matever is indicated as adjunctive therapy:  in the treatment of partial-onset seizures with or without secondary generalisation in adults, children and infants from one month of age with epilepsy; in the treatment of myoclonic seizures in adults and adolescents from 12 years of age with juvenile myoclonic epilepsy; in the treatment of primary generalised tonic-clonic seizures in adults and adolescents from 12 years of age with idiopathic generalised epilepsy.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/matever;Human
"salmeterol;fluticasone propionate";Seffalair Spiromax;Asthma;Seffalair Spiromax is indicated in the regular treatment of asthma in adults and adolescents aged 12 years and older not adequately controlled with inhaled corticosteroids and ‘as needed’ inhaled short-acting ?? agonists.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/seffalair-spiromax;Human
midazolam;Omforro;"Conscious Sedation;Anesthesia";Conscious sedation before and during diagnostic or therapeutic procedures with or without local anaesthesia and premedication before induction of anaesthesia.;Application withdrawn;https://www.ema.europa.eu/en/medicines/human/EPAR/omforro;Human
etanercept;Erelzi;"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid;Spondylitis, Ankylosing";Rheumatoid arthritis Erelzi in combination with methotrexate is indicated for the treatment of moderate to severe active rheumatoid arthritis in adults when the response to disease?modifying antirheumatic drugs, including methotrexate (unless contraindicated), has been inadequate. Erelzi can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate. Erelzi is also indicated in the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate. Etanercept, alone or in combination with methotrexate, has been shown to reduce the rate of progression of joint damage as measured by X?ray and to improve physical function. Juvenile idiopathic arthritis Treatment of polyarthritis (rheumatoid factor positive or negative) and extended oligoarthritis in children and adolescents from the age of 2 years who have had an inadequate response to, or who have proved intolerant of, methotrexate. Treatment of psoriatic arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, methotrexate. Treatment of enthesitis?related arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, conventional therapy. Etanercept has not been studied in children aged less than 2 years. Psoriatic arthritis Treatment of active and progressive psoriatic arthritis in adults when the response to previous disease?modifying antirheumatic drug therapy has been inadequate. Etanercept has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X?ray in patients with polyarticular symmetrical subtypes of the disease. Axial spondyloarthritis Ankylosing spondylitis (AS) Treatment of adults with severe active ankylosing spondylitis who have had an inadequate response to conventional therapy. Non-radiographic axial spondyloarthritis Treatment of adults with severe non?radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C?reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to non?steroidal anti?inflammatory drugs (NSAIDs). Plaque psoriasis Treatment of adults with moderate to severe plaque psoriasis who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy, including ciclosporin, methotrexate or psoralen and ultraviolet?A light (PUVA). Paediatric plaque psoriasis Treatment of chronic severe plaque psoriasis in children and adolescents from the age of 6 years who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/erelzi;Human
